Decimal,Fractional,American,Implied Probability
1.01,1/100,-10000,0.9901
1.02,1/50,-5000,0.9804
1.03,1/33,-3333,0.9709
1.04,1/25,-2500,0.9615
1.05,1/20,-2000,0.9524
1.06,1/16,-1667,0.9434
1.07,1/14,-1429,0.9346
1.08,1/13,-1250,0.9259
1.09,1/11,-1111,0.9174
1.1,1/10,-1000,0.9091
1.11,1/9,-909,0.9009
1.12,2/17,-833,0.8929
1.13,2/15,-769,0.885
1.14,1/7,-714,0.8772
1.15,2/13,-667,0.8696
1.16,2/13,-625,0.8621
1.17,1/6,-588,0.8547
1.18,2/11,-556,0.8475
1.19,2/11,-526,0.8403
1.2,1/5,-500,0.8333
1.22,2/9,-455,0.8197
1.25,1/4,-400,0.8
1.28,2/7,-357,0.7813
1.3,3/10,-333,0.7692
1.33,1/3,-303,0.7519
1.35,7/20,-286,0.7407
1.36,4/11,-278,0.7353
1.4,2/5,-250,0.7143
1.44,4/9,-227,0.6944
1.45,9/20,-222,0.6897
1.47,8/17,-213,0.6803
1.5,1/2,-200,0.6667
1.53,8/15,-189,0.6536
1.57,4/7,-175,0.6369
1.6,3/5,-167,0.625
1.62,8/13,-161,0.6173
1.63,5/8,-159,0.6135
1.66,2/3,-152,0.6024
1.7,7/10,-143,0.5882
1.72,8/11,-139,0.5814
1.8,4/5,-125,0.5556
1.83,5/6,-120,0.5464
1.9,9/10,-111,0.5263
1.91,10/11,-110,0.5236
1.95,20/21,-105,0.5128
2,1/1,100,0.5
2.05,21/20,105,0.4878
2.1,11/10,110,0.4762
2.2,6/5,120,0.4545
2.25,5/4,125,0.4444
2.3,13/10,130,0.4348
2.38,11/8,138,0.4202
2.4,7/5,140,0.4167
2.5,3/2,150,0.4
2.6,8/5,160,0.3846
2.63,13/8,163,0.3802
2.7,17/10,170,0.3704
2.75,7/4,175,0.3636
2.8,9/5,180,0.3571
2.88,15/8,188,0.3472
2.9,19/10,190,0.3448
3,2/1,200,0.3333
3.1,21/10,210,0.3226
3.13,17/8,213,0.3195
3.2,11/5,220,0.3125
3.25,9/4,225,0.3077
3.3,23/10,230,0.303
3.38,19/8,238,0.2959
3.4,12/5,240,0.2941
3.5,5/2,250,0.2857
3.6,13/5,260,0.2778
3.75,11/4,275,0.2667
3.8,14/5,280,0.2632
4,3/1,300,0.25
4.2,16/5,320,0.2381
4.33,10/3,333,0.2309
4.5,7/2,350,0.2222
4.6,18/5,360,0.2174
5,4/1,400,0.2
5.5,9/2,450,0.1818
6,5/1,500,0.1667
6.5,11/2,550,0.1538
7,6/1,600,0.1429
7.5,13/2,650,0.1333
8,7/1,700,0.125
8.5,15/2,750,0.1176
9,8/1,800,0.1111
9.5,17/2,850,0.1053
10,9/1,900,0.1
11,10/1,1000,0.0909
20,19/1,1900,0.05
30,30/1,2900,0.0333
40,40/1,3900,0.025
50,50/1,4900,0.02
60,60/1,5900,0.0167
70,70/1,6900,0.0143
80,80/1,7900,0.0125
90,90/1,8900,0.0111
100,100/1,9900,0.01
1000,1000/1,99900,0.001